Player,Pos,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Lng,Rec,Yds,TD,Lng
Mike McCormack\McCoMi00,T,0,6,10,28,119,,,,,,0,8,0,4,,,,
"Taylor, Charley",WR,1,8,12,95,165,3,14,99,1,1,442,1488,11,50,649,9110,79,88
Arnie Weinmeister\WeinAr00,DT,5,4,6,0,71,,,,,,,,,,1,16,0,16
Bobby Bell\BellBo00,LB,6,9,12,104,168,,,,,,,,,,,,,
"Jurgensen, Sonny",QB,1,5,10,105,218,2433,4262,32224,255,189,181,493,15,33,1,-3,0,0
Bobby Mitchell\MitcBo00,FL,1,4,10,88,148,3,3,61,1,0,513,2735,18,90,521,7954,65,99
"Warfield, Paul",WR,2,8,11,108,157,,,,,,22,204,0,39,427,8565,85,86
Doug Atkins\AtkiDo00,DE,1,8,15,78,205,,,,,,,,,,,,,
Sam Huff\HuffSa00,LB,2,5,13,64,168,,,,,,,,,,,,,
George Musso\MussGe20,G,1,3,9,0,128,,,,,,,,,,,,,
Merlin Olsen\OlseMe00,DT,5,14,15,116,208,,,,,,,,,,,,,
Red Badgro\BadgRe20,E,0,0,6,0,94,,,,,,,,,,35,560,7,13
"Blanda, George",QB,1,4,9,97,340,1911,4007,26920,236,277,135,344,9,19,1,-16,0,7
Willie Davis\DaviWi01,DE,5,5,10,103,162,,,,,,,,,,,,,
Jim Ringo\RingJi00,C,6,10,14,80,187,,,,,,0,13,0,13,,,,
Herb Adderley\AddeHe00,DB,4,5,11,106,164,,,,,,,,,,,,,
Deacon Jones\JoneDe00,DE,5,8,12,103,191,,,,,,,,,,,,,
Bob Lilly\LillBo00,DT,7,11,14,112,196,,,,,,,,,,,,,
Jim Otto\OttoJi00,C,10,12,15,112,210,,,,,,,,,,,,,
Dick Butkus\ButkDi00,LB,5,8,9,82,119,,,,,,1,28,0,28,,,,
Yale Lary\LaryYa00,DB,3,9,11,64,133,0,4,0,0,0,10,153,0,32,,,,
Ron Mix\MixxRo00,T,9,8,9,87,142,,,,,,,,,,,,,
"Unitas, Johnny",QB,5,10,14,113,211,2830,5186,40239,290,253,450,1777,13,34,1,1,0,1
Lance Alworth\AlwoLa00,FL,6,7,10,98,136,1,2,-11,0,0,24,129,2,35,542,10266,85,85
Tuffy Leemans\LeemTu20,FB,1,2,8,0,80,167,383,2318,25,32,919,3132,17,75,28,422,3,50
Ray Nitschke\NitsRa00,LB,2,1,11,95,190,,,,,,,,,,1,34,0,34
Larry Wilson\WilsLa00,DB,5,8,13,91,169,0,2,0,0,0,5,36,1,35,,,,
Frank Gifford\GiffFr00,HB,4,8,12,27,136,29,63,823,14,6,840,3609,34,79,367,5434,43,77
Forrest Gregg\GregFo00,T,7,9,11,96,193,,,,,,,,,,,,,
"Sayers, Gale",RB,5,4,5,60,68,4,18,111,1,2,991,4956,39,70,112,1307,9,80
"Starr, Bart",QB,1,4,13,91,196,1808,3149,24718,152,138,247,1308,15,39,,,,
Bill Willis\WillBi00,DG,3,3,6,0,99,,,,,,,,,,,,,
